,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Year
724,Credgenics,FinTech,Pre-series A,3000000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",2020
725,Inntot,Tech,Venture - Series Unknown,,Kerala,"Inntot Technologies, is a technology driven company.",2014.0,Rajith Nair,Unicorn India Ventures,2020
726,Ensuredit,FinTech,Pre-series A,300000.0,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2019.0,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,2020
727,Shipsy,AI Company,Series A,6000000.0,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2015.0,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",2020
728,ERPNext,Tech,Venture - Series Unknown,1000000.0,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2008.0,Rushabh Mehta,Rainmatter,2020
729,LightSpeedAI,Photonics startup,Venture - Series Unknown,,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,2019.0,"Rohin Y, PV Ramana","YourNest, growX ventures",2020
730,Grip Invest,FinTech,Pre-series A,,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020.0,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital,2020
731,Unacademy,EdTech,Venture - Series Unknown,,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2015.0,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management",2020
732,Yellow Classes,EdTech,Pre-series A,1300000.0,Gurugram,New-age fun-learning platform for kids.,2020.0,"Arpit Mittal, Anshul Gupta",India Quotient,2020
733,Plum,HealthTech,Venture - Series Unknown,4100000.0,Bangalore,High quality health insurance and health benefits,2019.0,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",2020
